Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,Year-to-Date Expenditures,Department Total,PDF file,PDF page
90000 - Capital Projects,FY14,91150,"Social, Cultural And Recreation Projects",510,Trustee's Commission,661.66,,fund171FY14.pdf,1
90000 - Capital Projects,FY14,91150,"Social, Cultural And Recreation Projects",707,Building Improvements,0,,fund171FY14.pdf,1
90000 - Capital Projects,FY14,91150,"Social, Cultural And Recreation Projects",,,,661.66,fund171FY14.pdf,1
,FY14,,Fund 171 Total,,,,661.66,fund171FY14.pdf,1
90000 - Capital Projects,FY15,91150,"Social, Cultural And Recreation Projects",510,Trustee's Commission,"3,009.72",,fund171FY15.pdf,1
90000 - Capital Projects,FY15,91150,"Social, Cultural And Recreation Projects",707,Building Improvements,"15,862.66",,fund171FY15.pdf,1
90000 - Capital Projects,FY15,91150,"Social, Cultural And Recreation Projects",718,Motor Vehicles,"166,488.49",,fund171FY15.pdf,1
90000 - Capital Projects,FY15,91150,"Social, Cultural And Recreation Projects",,,,"185,360.87",fund171FY15.pdf,1
,FY15,,Fund 171 Total,,,,"185,360.87",fund171FY15.pdf,1
90000 - Capital Projects,FY16,91120,Administration Of Justice Projects,706,Building Construction,"1,588,425.05",,fund171FY16.pdf,1
90000 - Capital Projects,FY16,91120,Administration Of Justice Projects,,,,"1,588,425.05",fund171FY16.pdf,1
90000 - Capital Projects,FY16,91150,"Social, Cultural And Recreation Projects",510,Trustee's Commission,"4,541.12",,fund171FY16.pdf,1
90000 - Capital Projects,FY16,91150,"Social, Cultural And Recreation Projects",706,Building Construction,0,,fund171FY16.pdf,1
90000 - Capital Projects,FY16,91150,"Social, Cultural And Recreation Projects",707,Building Improvements,"7,820.00",,fund171FY16.pdf,1
90000 - Capital Projects,FY16,91150,"Social, Cultural And Recreation Projects",718,Motor Vehicles,"175,250.00",,fund171FY16.pdf,1
90000 - Capital Projects,FY16,91150,"Social, Cultural And Recreation Projects",,,,"187,611.12",fund171FY16.pdf,1
,FY16,,Fund 171 Total,,,,"1,776,036.17",fund171FY16.pdf,1
90000 - Capital Projects,FY17,91120,Administration Of Justice Projects,707,Building Improvements,"147,973.32",,fund171FY17.pdf,1
90000 - Capital Projects,FY17,91120,Administration Of Justice Projects,,,,"147,973.32",fund171FY17.pdf,1
90000 - Capital Projects,FY17,91150,"Social, Cultural And Recreation Projects",510,Trustee's Commission,836.2,,fund171FY17.pdf,1
90000 - Capital Projects,FY17,91150,"Social, Cultural And Recreation Projects",707,Building Improvements,"21,520.00",,fund171FY17.pdf,1
90000 - Capital Projects,FY17,91150,"Social, Cultural And Recreation Projects",718,Motor Vehicles,"204,917.10",,fund171FY17.pdf,1
90000 - Capital Projects,FY17,91150,"Social, Cultural And Recreation Projects",,,,"227,273.30",fund171FY17.pdf,1
,FY17,,Fund 171 Total,,,,"375,246.62",fund171FY17.pdf,1
90000 - Capital Projects,FY18,91120,Administration Of Justice Projects,706,Building Construction,0,,fund171FY18.pdf,1
90000 - Capital Projects,FY18,91120,Administration Of Justice Projects,,,,0,fund171FY18.pdf,1
90000 - Capital Projects,FY18,91150,"Social, Cultural And Recreation Projects",510,Trustee's Commission,"3,331.37",,fund171FY18.pdf,1
90000 - Capital Projects,FY18,91150,"Social, Cultural And Recreation Projects",707,Building Improvements,"164,000.00",,fund171FY18.pdf,1
90000 - Capital Projects,FY18,91150,"Social, Cultural And Recreation Projects",718,Motor Vehicles,"30,000.00",,fund171FY18.pdf,1
90000 - Capital Projects,FY18,91150,"Social, Cultural And Recreation Projects",735,Health Equipment,"37,779.70",,fund171FY18.pdf,1
90000 - Capital Projects,FY18,91150,"Social, Cultural And Recreation Projects",,,,"235,111.07",fund171FY18.pdf,1
,FY18,,Fund 171 Total,,,,"235,111.07",fund171FY18.pdf,1
90000 - Capital Projects,FY19,91150,"Social, Cultural And Recreation Projects",510,Trustee's Commission,"1,877.48",,fund171FY19.pdf,1
90000 - Capital Projects,FY19,91150,"Social, Cultural And Recreation Projects",707,Building Improvements,"88,471.00",,fund171FY19.pdf,1
90000 - Capital Projects,FY19,91150,"Social, Cultural And Recreation Projects",718,Motor Vehicles,"35,645.22",,fund171FY19.pdf,1
90000 - Capital Projects,FY19,91150,"Social, Cultural And Recreation Projects",,,,"125,993.70",fund171FY19.pdf,1
,FY19,,Fund 171 Total,,,,"125,993.70",fund171FY19.pdf,1
90000 - Capital Projects,FY20,91110,General Administration Projects,510,Trustee's Commission,"1,818.42",,fund171FY20.pdf,1
90000 - Capital Projects,FY20,91110,General Administration Projects,734,Disabilities Act Improvements,"33,046.72",,fund171FY20.pdf,1
90000 - Capital Projects,FY20,91110,General Administration Projects,,,,"34,865.14",fund171FY20.pdf,1
90000 - Capital Projects,FY20,91130,Public Safety Projects,718,Motor Vehicles,"101,312.74",,fund171FY20.pdf,1
90000 - Capital Projects,FY20,91130,Public Safety Projects,,,,"101,312.74",fund171FY20.pdf,1
90000 - Capital Projects,FY20,91150,"Social, Cultural And Recreation Projects",510,Trustee's Commission,0,,fund171FY20.pdf,1
90000 - Capital Projects,FY20,91150,"Social, Cultural And Recreation Projects",707,Building Improvements,0,,fund171FY20.pdf,1
90000 - Capital Projects,FY20,91150,"Social, Cultural And Recreation Projects",,,,0,fund171FY20.pdf,1
,FY20,,Fund 171 Total,,,,"136,177.88",fund171FY20.pdf,1
90000 - Capital Projects,FY21,91110,General Administration Projects,317,Data Processing Services,"1,998.25",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91110,General Administration Projects,350,Internet Services,"192,330.00",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91110,General Administration Projects,510,Trustee's Commission,"1,791.05",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91110,General Administration Projects,701,Administration Equipment,"23,060.73",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91110,General Administration Projects,705,Bridge Construction,789.24,,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91110,General Administration Projects,707,Building Improvements,668,,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91110,General Administration Projects,709,Data Processing Equipment,580.85,,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91110,General Administration Projects,719,Office Equipment,"4,157.00",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91110,General Administration Projects,,,,"225,375.12",fund171FY21.pdf,1
90000 - Capital Projects,FY21,91120,Administration Of Justice Projects,709,Data Processing Equipment,"12,523.81",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91120,Administration Of Justice Projects,716,Law Enforcement Equipment,"16,540.15",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91120,Administration Of Justice Projects,,,,"29,063.96",fund171FY21.pdf,1
90000 - Capital Projects,FY21,91130,Public Safety Projects,718,Motor Vehicles,"110,195.67",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91130,Public Safety Projects,735,Health Equipment,"79,434.44",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91130,Public Safety Projects,790,Other Equipment,"49,804.25",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91130,Public Safety Projects,,,,"239,434.36",fund171FY21.pdf,1
90000 - Capital Projects,FY21,91140,Public Health And Welfare Projects,706,Building Construction,"44,450.00",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91140,Public Health And Welfare Projects,707,Building Improvements,"2,910.07",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91140,Public Health And Welfare Projects,791,Other Construction,"11,654.92",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91140,Public Health And Welfare Projects,,,,"59,014.99",fund171FY21.pdf,1
90000 - Capital Projects,FY21,91150,"Social, Cultural And Recreation Projects",510,Trustee's Commission,0,,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91150,"Social, Cultural And Recreation Projects",707,Building Improvements,"3,440.00",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91150,"Social, Cultural And Recreation Projects",718,Motor Vehicles,0,,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91150,"Social, Cultural And Recreation Projects",,,,"3,440.00",fund171FY21.pdf,1
90000 - Capital Projects,FY21,91160,Agriculture & Natural Resources Projects,791,Other Construction,"15,700.00",,fund171FY21.pdf,1
90000 - Capital Projects,FY21,91160,Agriculture & Natural Resources Projects,,,,"15,700.00",fund171FY21.pdf,1
90000 - Capital Projects,FY21,91190,Other General Government Projects,701,Administration Equipment,"1,300.00",,fund171FY21.pdf,1
