Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,Year-to-Date Expenditures,Department Total,PDF file,PDF page
51000 - General Government,FY05,51100,County Commission,199,Other Per Diem & Fees,"3,020.00",,FY05.pdf,1
51000 - General Government,FY05,51100,County Commission,305,Audit Services,"1,332.00",,FY05.pdf,1
51000 - General Government,FY05,51100,County Commission,320,Dues And Memberships,900,,FY05.pdf,1
51000 - General Government,FY05,51100,County Commission,,,,"5,252.00",FY05.pdf,1
51000 - General Government,FY05,51300,County Mayor/Executive,101,County Official/Administrative Officer,"49,051.06",,FY05.pdf,1
51000 - General Government,FY05,51300,County Mayor/Executive,119,Accountants/Bookkeepers,"21,115.03",,FY05.pdf,1
51000 - General Government,FY05,51300,County Mayor/Executive,196,In-Service Training,237.24,,FY05.pdf,1
51000 - General Government,FY05,51300,County Mayor/Executive,307,Communication,"1,663.21",,FY05.pdf,1
51000 - General Government,FY05,51300,County Mayor/Executive,317,Data Processing Services,"3,263.72",,FY05.pdf,1
51000 - General Government,FY05,51300,County Mayor/Executive,320,Dues And Memberships,"4,473.63",,FY05.pdf,1
51000 - General Government,FY05,51300,County Mayor/Executive,332,"Legal Notices, Recording And Court Cost","1,087.64",,FY05.pdf,1
51000 - General Government,FY05,51300,County Mayor/Executive,348,Postal Charges,996.82,,FY05.pdf,1
51000 - General Government,FY05,51300,County Mayor/Executive,355,Travel,217.3,,FY05.pdf,1
51000 - General Government,FY05,51300,County Mayor/Executive,719,Office Equipment,738.99,,FY05.pdf,1
51000 - General Government,FY05,51300,County Mayor/Executive,,,,"82,844.64",FY05.pdf,1
51000 - General Government,FY05,51400,County Attorney,101,County Official/Administrative Officer,"5,737.00",,FY05.pdf,1
51000 - General Government,FY05,51400,County Attorney,,,,"5,737.00",FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,101,County Official/Administrative Officer,"33,974.93",,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,189,Other Salaries & Wages,"1,850.00",,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,192,Election Commission,500,,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,193,Election Workers,"3,420.00",,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,307,Communication,402.85,,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,320,Dues And Memberships,75,,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,332,"Legal Notices, Recording And Court Cost",718.28,,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,337,Maintenance And Repair Services-Office,"1,699.97",,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,348,Postal Charges,414.85,,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,349,"Printing, Stationery And Forms",364.35,,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,355,Travel,"2,273.17",,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,399,Other Contracted Services,"4,923.78",,FY05.pdf,1
51000 - General Government,FY05,51500,Election Commission,435,Office Supplies,283.17,,FY05.pdf,2
51000 - General Government,FY05,51500,Election Commission,,,,"50,900.35",FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,101,County Official/Administrative Officer,"42,468.96",,FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,169,Part-Time Personnel,"4,074.13",,FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,304,Architects,0,,FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,307,Communication,"1,467.86",,FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,320,Dues And Memberships,347,,FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,334,Maintenance Agreements,"2,078.20",,FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,348,Postal Charges,240,,FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,349,"Printing, Stationery And Forms","1,303.28",,FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,355,Travel,0,,FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,435,Office Supplies,181,,FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,709,Data Processing Equipment,187,,FY05.pdf,2
51000 - General Government,FY05,51600,Register Of Deeds,,,,"52,347.43",FY05.pdf,2
51000 - General Government,FY05,51720,Planning,101,County Official/Administrative Officer,"4,041.60",,FY05.pdf,2
51000 - General Government,FY05,51720,Planning,307,Communication,365.23,,FY05.pdf,2
51000 - General Government,FY05,51720,Planning,309,Contracts With Government Agencies,"7,000.00",,FY05.pdf,2
51000 - General Government,FY05,51720,Planning,332,"Legal Notices, Recording And Court Cost",175.11,,FY05.pdf,2
51000 - General Government,FY05,51720,Planning,,,,"11,581.94",FY05.pdf,2
51000 - General Government,FY05,51800,County Buildings,166,Custodial Personnel,"11,411.66",,FY05.pdf,2
51000 - General Government,FY05,51800,County Buildings,335,Maintenance And Repair Services-Buildir,"86,683.62",,FY05.pdf,2
51000 - General Government,FY05,51800,County Buildings,347,Pest Control,480,,FY05.pdf,2
51000 - General Government,FY05,51800,County Buildings,410,Custodial Supplies,"2,640.39",,FY05.pdf,2
51000 - General Government,FY05,51800,County Buildings,415,Electricity,"7,740.81",,FY05.pdf,2
51000 - General Government,FY05,51800,County Buildings,434,Natural Gas,"5,888.38",,FY05.pdf,2
51000 - General Government,FY05,51800,County Buildings,435,Office Supplies,"3,022.03",,FY05.pdf,2
51000 - General Government,FY05,51800,County Buildings,454,Water And Sewer,"2,538.66",,FY05.pdf,2
51000 - General Government,FY05,51800,County Buildings,,,,"120,405.55",FY05.pdf,2
51000 - General Government,FY05,51910,Preservation Of Records,435,Office Supplies,"1,504.29",,FY05.pdf,2
51000 - General Government,FY05,51910,Preservation Of Records,,,,"1,504.29",FY05.pdf,3
52000 - Finance,FY05,52300,Property Assessor's Office,101,County Official/Administrative Officer,"42,468.96",,FY05.pdf,4
