Functions/Programs,Fiscal Year,Department Code,Department Description,Line Item Code,Line Item Description,Year-to-Date Expenditures,Department Total,PDF file,PDF page
51000 - General Government,FY05,51900,Other General Administration,415,Electricity,"11,769.38",,fund121FY05.pdf,1
51000 - General Government,FY05,51900,Other General Administration,510,Trustee's Commission,33.48,,fund121FY05.pdf,1
51000 - General Government,FY05,51900,Other General Administration,599,Other Charges,60,,fund121FY05.pdf,1
51000 - General Government,FY05,51900,Other General Administration,,,,"11,862.86",fund121FY05.pdf,1
,FY05,,Fund 121 Total,,,,"11,862.86",fund121FY05.pdf,1
51000 - General Government,FY06,51900,Other General Administration,415,Electricity,"12,737.11",,fund121FY06.pdf,1
51000 - General Government,FY06,51900,Other General Administration,510,Trustee's Commission,142.39,,fund121FY06.pdf,1
51000 - General Government,FY06,51900,Other General Administration,599,Other Charges,60,,fund121FY06.pdf,1
51000 - General Government,FY06,51900,Other General Administration,,,,"12,939.50",fund121FY06.pdf,1
,FY06,,Fund 121 Total,,,,"12,939.50",fund121FY06.pdf,1
51000 - General Government,FY07,51900,Other General Administration,415,Electricity,"13,736.76",,fund121FY07.pdf,1
51000 - General Government,FY07,51900,Other General Administration,510,Trustee's Commission,238.5,,fund121FY07.pdf,1
51000 - General Government,FY07,51900,Other General Administration,,,,"13,975.26",fund121FY07.pdf,1
51000 - General Government,FY07,51910,Preservation Of Records,510,Trustee's Commission,0,,fund121FY07.pdf,1
51000 - General Government,FY07,51910,Preservation Of Records,,,,0,fund121FY07.pdf,1
,FY07,,Fund 121 Total,,,,"13,975.26",fund121FY07.pdf,1
51000 - General Government,FY08,51900,Other General Administration,415,Electricity,"14,360.33",,fund121FY08.pdf,1
51000 - General Government,FY08,51900,Other General Administration,510,Trustee's Commission,242.52,,fund121FY08.pdf,1
51000 - General Government,FY08,51900,Other General Administration,599,Other Charges,0,,fund121FY08.pdf,1
51000 - General Government,FY08,51900,Other General Administration,,,,"14,602.85",fund121FY08.pdf,1
51000 - General Government,FY08,51910,Preservation Of Records,510,Trustee's Commission,0,,fund121FY08.pdf,1
51000 - General Government,FY08,51910,Preservation Of Records,,,,0,fund121FY08.pdf,1
,FY08,,Fund 121 Total,,,,"14,602.85",fund121FY08.pdf,1
